"Partija","Kandidatas1","Kandidatas2","Koreliacija"
"Liberalų ir centro sąjunga","Gintaras Steponas VYŠNIAUSKAS","Vincas KAPOČIUS",0.340866425234898
"Lietuvos lenkų rinkimų akcija","Leonija PETRAUSKAITĖ","Zofija PILYPIENĖ",0.340655864217257
"Liberalų ir centro sąjunga","Arūnas MARKŪNAS","Sigitas ARBAČIAUSKAS",0.340594993891133
"Darbo partija","Aurimas TRUNCĖ","Kęstutis DAUKŠYS",0.34034308603761
"Darbo partija","Arūnas BACEVIČIUS","Virginijus VARANAVIČIUS",0.34014441987216
"Lietuvos lenkų rinkimų akcija","Renata SOBIESKA","Tadeuš ALIANCEVIČ",0.340129101041088
"„Drąsos kelias“ politinė partija","Virgilijus Petras MATULA","Žilvinas MACIJAUSKAS",0.33983536634032
"Lietuvos lenkų rinkimų akcija","Tadeuš ALIANCEVIČ","Tadeuš ANDŽEJEVSKI",0.339606873110781
"Lietuvos lenkų rinkimų akcija","Ivona ČERNIAVSKA","Tadeuš LAVRYNOVIČ",0.33939878566918
"Liberalų ir centro sąjunga","Rimantas TARAŠKEVIČIUS","Saulius BUDINAS",0.339266347635187
"Lietuvos lenkų rinkimų akcija","Sofija MATAREVIČ","Tadeuš ALIANCEVIČ",0.33886879214286
"Lietuvos Respublikos liberalų sąjūdis","Alfonsas KLIMAS","Gintaras KRAUJUTIS",0.337630234092888
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Dainius BARDAUSKAS","Egidijus ČERNIUS",0.337602276573613
"Partija Tvarka ir teisingumas","Kęstutis BARTKEVIČIUS","Saulius ŠIURYS",0.337259151548857
"Partija Tvarka ir teisingumas","Irena GAILIUTĖ","Vygantas JAKŠTAS",0.337214852977908
"Liberalų ir centro sąjunga","Kęstutis VILNIŠKIS","Robertas MIKALAUSKIS",0.337192982498616
"Partija Tvarka ir teisingumas","Daiva MATONIENĖ","Tomas JAKAVIČIUS",0.336347261249902
"Respublikonų partija","Tomas MERKYS","Vilma GALVYDIENĖ",0.336295123782535
"Lietuvos lenkų rinkimų akcija","Julija CHARITONOVA","Tatjana SINKEVIČ",0.336076374334892
"Lietuvos lenkų rinkimų akcija","Danuta KULIEŠIENĖ","Tamara KALIUŽNAJA",0.335956780598121
"Darbo partija","Aidas GEDVILAS","Marijus VELIČKA",0.335775492106897
"„Drąsos kelias“ politinė partija","Vytautas PEČIŪRA","Žilvinas MACIJAUSKAS",0.335445575736303
"Lietuvos valstiečių ir žaliųjų sąjunga","Antanas BEZARAS","Arūnas GRUBLIAUSKIS",0.335365066345309
"Lietuvos Respublikos liberalų sąjūdis","Jurgita CHOROMANSKYTĖ","Romas REMĖZA",0.335281282409378
"Lietuvos Respublikos liberalų sąjūdis","Reda ZAKARAUSKAITĖ","Remigijus OSAUSKAS",0.335230437421067
"Lietuvos valstiečių ir žaliųjų sąjunga","Birutė KAKTYTĖ","Remigijus PELENIS",0.335154647485598
"Demokratinė darbo ir vienybės partija","Artūras KARAKAS","Vitalijus BERGAUDAS",0.335070658538339
"Politinė partija „Sąjunga Taip“","Arvydas JAKAS","Egidijus Antanas JOVAIŠA",0.334985910298631
"Politinė partija „Sąjunga Taip“","Andrejus ZADNEPROVSKIS","Darius MASKOLIŪNAS",0.334660448134466
"Demokratinė darbo ir vienybės partija","Julija ILJINA","Lina AMBRAŠKIENĖ",0.33465705321194
"Partija Tvarka ir teisingumas","Julius VESELKA","Petras GRAŽULIS",0.333214807661195
"Respublikonų partija","Ingrida JANKAUSKIENĖ","Nerijus VARNAS",0.332904757413411
"Liberalų ir centro sąjunga","Ričardas JUŠKA","Saulius LAPĖNAS",0.332891128338468
"Lietuvos žmonių partija","Kęstutis VASILKOVAS","Valerij DALECKIJ",0.332635202370828
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Irena DEGUTIENĖ","Rasa JUKNEVIČIENĖ",0.332259083224665
"Lietuvos socialdemokratų partija","Sigitas DOBILINSKAS","Vytautas RINKEVIČIUS",0.332013639347625
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Loreta KUDARIENĖ","Rytas KUPČINSKAS",0.330800057493763
"Lietuvos Respublikos liberalų sąjūdis","Ala DEKAN","Viktoras STRUPS",0.330482485704161
"Krikščionių partija","Anatolij ŠICHOVCOV","Petras BALČIŪNAS",0.33038165367633
"Lietuvos socialdemokratų partija","Algirdas BALČYTIS","Zigmantas BALČYTIS",0.330105555219659
"Partija Tvarka ir teisingumas","Algirdas ŽANDARAS","Benjaminas KUJAVSKIS",0.329776798922763
"Krikščionių partija","Petras BALČIŪNAS","Vytautas JUKNA",0.329699856916344
"Lietuvos valstiečių ir žaliųjų sąjunga","Juozas RAUDONIUS","Odeta KRASAUSKIENĖ",0.328728145967336
"Lietuvos lenkų rinkimų akcija","Marijan BUINICKAS","Tamara KALIUŽNAJA",0.328031309451765
"Lietuvos lenkų rinkimų akcija","Artur LIUDKOVSKI","Valdemar ŠELKOVSKI",0.327554190228358
"Politinė partija „Sąjunga Taip“","Juozas ANTANAITIS","Mečislovas SUBELIS",0.327224780122119
"Darbo partija","Laimutė KAČERAUSKIENĖ","Mykolas ZALUNSKIS",0.325772971307477
"Lietuvos žmonių partija","Darjuš LAVRINOVIČ","Rimantas KAUKĖNAS",0.325674184634357
"Socialistinis liaudies Frontas","Mindaugas STAKVILEVIČIUS","Vytautas BERNATONIS",0.3255572501711
"Lietuvos valstiečių ir žaliųjų sąjunga","Albinas MORKŪNAS","Bronis ROPĖ",0.32523017907827
"Lietuvos socialdemokratų partija","Elena ČEKIENĖ","Petras PAPOVAS",0.325020140101705
"Demokratinė darbo ir vienybės partija","Algirdas ČEPONIS","Valdas SLAVINSKAS",0.323970787095412
"Lietuvos Respublikos liberalų sąjūdis","Laimontas DINIUS","Vincas JURGUTIS",0.323770107067575
"Lietuvos lenkų rinkimų akcija","Marija KLIMAŠEVSKA","Viktorija DAILYDIENĖ",0.323753201723423
"Darbo partija","Stanislovas TOMAS","Vaidas RATKEVIČIUS",0.323237133406664
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Alfonsas LUPEIKIS","Vytautas BURBULIS",0.323207337533332
"Lietuvos lenkų rinkimų akcija","Irena BARANOVSKAJA","Valerijan JUSIONIS",0.323182656274176
"Respublikonų partija","Nerijus VARNAS","Remigijus URBONAS",0.322929674953419
"Lietuvos lenkų rinkimų akcija","Tatjana SINKEVIČ","Violeta DUDUTIENĖ",0.322910830461605
"Lietuvos socialdemokratų partija","Algirdas BUTKEVIČIUS (V)","Juozas OLEKAS",0.322588978633646
"Darbo partija","Jolanta GAUDUTIENĖ","Živilė PINSKUVIENĖ",0.32208168577015
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Rimantas MATULIS","Šarūnas LAUŽADIS",0.32206619464656
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Alvydas KIMTYS","Kęstutis DVARŽECKIS",0.321742438134526
"Liberalų ir centro sąjunga","Antanas SIMONČIKAS","Rimantas DABULIS",0.321386035566853
"Lietuvos Respublikos liberalų sąjūdis","Gintautas STANKEVIČIUS","Remigijus MAKAUSKAS",0.321163143289427
"Darbo partija","Mykolas ZALUNSKIS","Romas VENCLOVAS",0.321159591467267
"„Drąsos kelias“ politinė partija","Alė JURGAITIENĖ","Laima ARNATKEVIČIŪTĖ",0.321117455712842
"Partija Tvarka ir teisingumas","Algimantas JUOCEVIČIUS","Paulius PAULIONIS",0.321023889138511
"Respublikonų partija","Mindaugas KUKCINAVIČIUS","Remigijus URBONAS",0.320884689503252
"Lietuvos žmonių partija","Kšištof LAVRINOVIČ","Rimantas KAUKĖNAS",0.320759862552272
"Lietuvos Respublikos liberalų sąjūdis","Rita JAGMINIENĖ","Vytautas DANILEVIČIUS",0.320078774339684
"Lietuvos socialdemokratų partija","Nikolajus GUSEVAS","Vasilijus POPOVAS",0.319980488784174
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Algis RUDYS","Artūras LISTAVIČIUS",0.319739518024195
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Algimantas KIRKUTIS","Artūras ŽIGAS",0.319687665079603
"Socialistinis liaudies Frontas","Michailas BUGAKOVAS","Mindaugas STAKVILEVIČIUS",0.319649753929977
"Lietuvos valstiečių ir žaliųjų sąjunga","Aringas PAČEŠIŪNAS","Vaidotas BUTKEVIČIUS",0.318903210855103
"„Drąsos kelias“ politinė partija","Egidijus RUMŠA","Linas LABAČIAUSKAS",0.318759282351368
"Lietuvos valstiečių ir žaliųjų sąjunga","Benius RŪTELIONIS","Juozas VARNELIS",0.317804232815426
"Partija Tvarka ir teisingumas","Rimvydas VELYKIS","Romualdas JASMANTAS",0.317598249996415
"Lietuvos valstiečių ir žaliųjų sąjunga","Albinas MORKŪNAS","Juozas BERTAŠIUS",0.316983317540586
"Lietuvos valstiečių ir žaliųjų sąjunga","Virginija APANAVIČIENĖ","Vytautas VALEVIČIUS",0.316901003015411
"Krikščionių partija","Arvydas ŠALTENIS","Vidmantas ŽIEMELIS",0.316766698296515
"Politinė partija „Sąjunga Taip“","Juozas ANTANAITIS","Saulius ANILIONIS",0.316665666952652
"Lietuvos valstiečių ir žaliųjų sąjunga","Juozas BERTAŠIUS","Rima RAUKTIENĖ",0.316662597873167
"Darbo partija","Valdas SKARBALIUS","Vitalija VONŽUTAITĖ",0.316492835676484
"Darbo partija","Gintaras STEPONĖNAS","Šarūnas BIRUTIS",0.316485141989656
"Lietuvos socialdemokratų partija","Eduardas ŠABLINSKAS","Tatjana RINKEVIČIENĖ",0.316451653108738
"Lietuvos Respublikos liberalų sąjūdis","Kristina MAŠIRKIENĖ","Renatas SALADŽIUS",0.315839192981041
"Lietuvos socialdemokratų partija","Janina GAIDŽIŪNAITĖ","Povilas VADOPOLAS",0.314839341689557
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Egidijus VAREIKIS","Liutauras DIRSĖ",0.314804422244318
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Dobilas KURTINAITIS","Gediminas KRASAUSKAS",0.314589013905424
"Lietuvos socialdemokratų partija","Irena ŠIAULIENĖ","Lilija PETRAITIENĖ",0.314538823936186
"Liberalų ir centro sąjunga","Andrius BŪDA","Arūnas STAŠAITIS",0.314413424071792
"Lietuvos lenkų rinkimų akcija","Ivona ČERNIAVSKA","Viktorija DAILYDIENĖ",0.314368918966763
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Paulius ZYKAS","Zigmantas VALIULIS",0.312781522255302
"Lietuvos Respublikos liberalų sąjūdis","Adelė MAJAUSKIENĖ","Reda ZAKARAUSKAITĖ",0.312443016872703
"Lietuvos lenkų rinkimų akcija","Ivona ROMANOVSKA","Zofija PILYPIENĖ",0.312442585236709
"Darbo partija","Viktoras FIODOROVAS","Virginija BALTRAITIENĖ (V)",0.312278396619388
"Lietuvos lenkų rinkimų akcija","Irena BARANOVSKAJA","Michail ČAIKOVSKIJ",0.311775193797443
"Lietuvos lenkų rinkimų akcija","Algis MORTŪNAS","Miroslav BOGDANOVIČ",0.311726992582172
"Lietuvos lenkų rinkimų akcija","Marina KUZNECOVA","Renata SOBIESKA",0.31170369069473
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Juozas MAŽEIKA","Vaidotas BACEVIČIUS",0.311138003745461
"Socialistinis liaudies Frontas","Angelė AMBRAZIENĖ","Vitalij LAVKART",0.311008628752215
"Darbo partija","Saulius BUCEVIČIUS","Virginija BALTRAITIENĖ (V)",0.310995209492941
"Lietuvos lenkų rinkimų akcija","Tamara KALIUŽNAJA","Veslav STARIKOVIČ",0.310849286480947
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Algirdas KLIMAITIS","Arvydas VIDŽIŪNAS",0.310682648183835
"Emigrantų partija","Redas KIMANTAS","Virginija ANDRIJEVSKIENĖ",0.310588716257366
"Lietuvos Respublikos liberalų sąjūdis","Audrius VAIŠVILA","Gytis LUKOŠEVIČIUS",0.310463769128254
"Lietuvos lenkų rinkimų akcija","Irena BARANOVSKAJA","Povilas ŠUMINAS",0.310444863605989
"Partija Tvarka ir teisingumas","Pranas NORVILAS","Viktoras KURA",0.310374638130948
"Lietuvos lenkų rinkimų akcija","Laimutė BURBIENĖ","Vaidotas PRUNSKUS",0.309605571095007
"Lietuvos valstiečių ir žaliųjų sąjunga","Benius RŪTELIONIS","Valdas ŽIČKA",0.308901552805718
"Lietuvos lenkų rinkimų akcija","Marina KUZNECOVA","Tamara KALIUŽNAJA",0.308779023984355
"Darbo partija","Gediminas JAKAVONIS","Voitechas VINSKEVIČIUS",0.308572123097306
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Justinas URBANAVIČIUS","Regina LUKOŠEVIČIENĖ",0.308556039756254
"Demokratinė darbo ir vienybės partija","Gintautas SKEIRIS","Julija ILJINA",0.308531269697172
"Lietuvos socialdemokratų partija","Lina BUDREIKAITĖ","Loreta KUBILIŪNIENĖ",0.308445243657757
"Politinė partija „Sąjunga Taip“","Ernesta ARLAUSKAITĖ","Indrė JAKAITYTĖ",0.308274710003418
"Politinė partija „Sąjunga Taip“","Agnė ZUOKIENĖ","Žilvinas ŠILGALIS",0.30794302417436
"Politinė partija „Sąjunga Taip“","Gintaras ŽANDARAVIČIUS","Gintautas ŠIVICKAS",0.307908824019285
"Darbo partija","Anželika BANEVIČIENĖ","Rytis ŠATKAUSKAS",0.307681306819903
"Darbo partija","Marius VASILEVIČIUS","Raimundas PALIUKAS",0.307680753741563
"Lietuvos lenkų rinkimų akcija","Ivona ČERNIAVSKA","Marija KLIMAŠEVSKA",0.30764976524058
"Lietuvos Respublikos liberalų sąjūdis","Gita KONDROTAITĖ","Paulius KERAS",0.307557751129326
"Lietuvos valstiečių ir žaliųjų sąjunga","Andriejus STANČIKAS","Marijus KAKTYS",0.307169130318756
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Erika KIŽIENĖ","Liudvikas SABUTIS",0.307134168762912
"Lietuvos socialdemokratų partija","Benediktas JUODKA","Giedrė PURVANECKIENĖ",0.306958201813257
"„Drąsos kelias“ politinė partija","Antanas BUROKAS","Leonarda KUODIENĖ",0.306760193093439
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Irutė GEDUTIENĖ","Rima ŠTEFANE",0.306341503178683
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Edita GUDIŠAUSKIENĖ","Vygantas GUDĖNAS",0.306145799184253
"Darbo partija","Jonas KONDROTAS","Paulius KALINA",0.306023820888252
"Partija Tvarka ir teisingumas","Tomas JAKAVIČIUS","Vidmantas JAPERTAS",0.305776119916168
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Jonas ŠIMĖNAS","Sigutis OBELEVIČIUS",0.305432564443772
"„Drąsos kelias“ politinė partija","Edvardas ŠALKAUSKAS","Zenonas ŽYMANČIUS",0.305284800897075
"„Drąsos kelias“ politinė partija","Gintaras DRUČKUS","Irena VASINAUSKAITĖ",0.305149364532779
"Socialistinis liaudies Frontas","Michailas BUGAKOVAS","Vytautas BERNATONIS",0.305111670481935
"Lietuvos Respublikos liberalų sąjūdis","Eugenijus KURTINAITIS","Gintautas STANKEVIČIUS",0.30475776968214
"Darbo partija","Raimundas PALIUKAS","Sergej DMITRIJEV",0.304237905968408
"Darbo partija","Natalja ŠLIACHTIČ","Sergejus PETUCHAS",0.304015461660454
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Jonas MILIERIUS","Rasa KONTAUTIENĖ",0.303504216829174
"Lietuvos Respublikos liberalų sąjūdis","Regina ROZENBLAT","Vytas LIUDŽIUS",0.303192182669156
"Lietuvos valstiečių ir žaliųjų sąjunga","Dalius ČAPAITIS","Vidas KANIŠAUSKAS",0.30271230358489
"Politinė partija „Sąjunga Taip“","Erika Unė DOMARKIENĖ","Simona STANČIKAITĖ",0.302642460224916
"Darbo partija","Sergej DMITRIJEV","Sergej URSUL",0.302593303586891
"Lietuvos socialdemokratų partija","Algirdas BUTKEVIČIUS (V)","Vytenis Povilas ANDRIUKAITIS",0.302357075232628
"Lietuvos Respublikos liberalų sąjūdis","Audrius ENDZINAS","Raimondas PLIKŠNYS",0.302085152180212
"Darbo partija","Danguolė JUOZAPAVIČIENĖ","Kęstutis DAUKŠYS",0.301358757544119
"Demokratinė darbo ir vienybės partija","Julija ILJINA","Viačeslav GVOZDAS",0.300731289160931
"Darbo partija","Edgaras KUTURYS","Saulius STANKEVIČIUS",0.300368412303344
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Jonas POVILIONIS","Vykintas STUMBRYS",0.300302984959843
"Lietuvos socialdemokratų partija","Albinas MITRULEVIČIUS","Juozas OLEKAS",0.300019244143826
"Demokratinė darbo ir vienybės partija","Elena MACAITĖ","Gintautas SKEIRIS",0.299963731224845
"Darbo partija","Natalja ŠLIACHTIČ","Sergej URSUL",0.299720643273487
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Mindaugas Petras BALAŠAITIS","Regina LUKOŠEVIČIENĖ",0.299269574568158
"Lietuvos Respublikos liberalų sąjūdis","Daiva JUODELIENĖ","Gintaras KRAUJUTIS",0.298758718827364
"Lietuvos Respublikos liberalų sąjūdis","Albertas LAKŠTAUSKAS","Skirmantas TUMELIS",0.298687042053393
"Demokratinė darbo ir vienybės partija","Lina AMBRAŠKIENĖ","Viačeslav GVOZDAS",0.298659005872263
"Lietuvos socialdemokratų partija","Lina KYBARTAITĖ","Vytautas KLEIVA",0.297853325204501
"Demokratinė darbo ir vienybės partija","Ingrida VAICIKEVIČIENĖ","Laima SAKALIENĖ",0.297630732506441
"Liberalų ir centro sąjunga","Nijolė MAKŠTUTIENĖ","Rimantas DABULIS",0.297628407370719
"Darbo partija","Valerijus LEGATAS","Viačeslav ŽDANOVIČ",0.297489838927403
"Politinė partija „Sąjunga Taip“","Donatas VEČERSKIS","Jolita PELECKIENĖ",0.297180869554608
"Lietuvos socialdemokratų partija","Juozas OLEKAS","Vytenis Povilas ANDRIUKAITIS",0.296854086725692
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Antanas Juozas KAZAKEVIČIUS","Loreta KALNIKAITĖ",0.296572010845255
"Darbo partija","Rimantas TROTA","Vytautas LIEPA",0.296425595877942
"Lietuvos socialdemokratų partija","Danutė Ona STATULEVIČIENĖ","Valerijonas KUBILIUS",0.296291561136541
"„Drąsos kelias“ politinė partija","Gintaras ALEKNONIS","Valdas VASILIAUSKAS",0.295916188726883
"Darbo partija","Irina NOVIKOVA","Sergej DMITRIJEV",0.295907884515013
"Liberalų ir centro sąjunga","Mindaugas ŠIVICKAS","Robertas STANIONIS",0.29580895379107
"Darbo partija","Algirdas GRICIUS","Žilvinas PUTRAMENTAS",0.295504742361959
"Lietuvos valstiečių ir žaliųjų sąjunga","Alvydas ŽUVININKAS","Gediminas GRYBĖ",0.295447333100421
"Demokratinė darbo ir vienybės partija","Julija ILJINA","Ruslan KARAPETROV",0.295446312140364
"Partija Tvarka ir teisingumas","Gintaras ŠURKUS","Žydrė NUTAUTIENĖ",0.294777512743429
"Lietuvos Respublikos liberalų sąjūdis","Marcijonas URMONAS","Vitalijus GAILIUS",0.294739456760561
"Lietuvos socialdemokratų partija","Edvardas ŽAKARIS","Linas ANDRULIS",0.294404264520158
"Darbo partija","Birutė BOREIKINA","Juozas GIRČYS",0.29353176910513
"Lietuvos žmonių partija","Emilija PALUBINSKIENĖ","Gintarė BITYTĖ",0.292023024787811
"Lietuvos žmonių partija","Angelina LABANAUSKIENĖ","Robertas KASPEROVIČIUS",0.291975413347223
"Lietuvos Respublikos liberalų sąjūdis","Audrius ENDZINAS","Gediminas ČEPULIS",0.291364882195501
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Gediminas KRASAUSKAS","Robertas ŠARKNICKAS",0.291257138737114
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Arūnas PAKUTINSKAS","Darius TUMŠIS",0.290630106754934
"Politinė partija „Sąjunga Taip“","Snaigė VALENTUKEVIČIENĖ","Zofija ABECIŪNIENĖ",0.290582315923833
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Aušra MIELEIKIENĖ","Stasys GADEIKIS",0.290115861233901
"Socialistinis liaudies Frontas","Angelė AMBRAZIENĖ","Genovaitė LAGINAUSKIENĖ",0.289716846914567
"Lietuvos valstiečių ir žaliųjų sąjunga","Jonas JARUTIS","Vidmantas PALIULIS",0.289590129626657
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Julius PANKA","Ričardas ČEKUTIS",0.288977060806241
"Emigrantų partija","Genė PUŽIENĖ","Natalija STOČKUVIENĖ",0.288782857059206
"Partija Tvarka ir teisingumas","Daiva JUKNEVIČIENĖ","Vytautas NARUŠIS",0.288744662702779
"Lietuvos valstiečių ir žaliųjų sąjunga","Juozas RAUDONIUS","Vytautas KAZLAUSKAS",0.288273802122753
"Socialistinis liaudies Frontas","Algirdas JANYŠIUS","Mindaugas STAKVILEVIČIUS",0.288035785972732
"Lietuvos Respublikos liberalų sąjūdis","Brigita BINGELYTĖ","Kęstutis MACIONIS",0.287475926234209
"Darbo partija","Kęstutis DAUKŠYS","Raimundas MARKAUSKAS",0.28740076683204
"Lietuvos valstiečių ir žaliųjų sąjunga","Elida DUBINSKYTĖ-ŠIMAITĖ","Tomas TOMILINAS",0.287351886135765
"Lietuvos valstiečių ir žaliųjų sąjunga","Juozas RAUDONIUS","Juozas SAUSPREŠKIS",0.287346168379775
"Darbo partija","Benas ŠIMKUS","Saulius STANKEVIČIUS",0.287208384622552
"Partija Tvarka ir teisingumas","Henrikas MACKELA","Pranas SASNAUSKAS",0.286881184297819
"Politinė partija „Sąjunga Taip“","Jolita PELECKIENĖ","Vitalius BESAKIRSKAS",0.28601061696836
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Gintarė SKAISTĖ","Laurynas KASČIŪNAS",0.285750720747209
"Partija Tvarka ir teisingumas","Aleksander POPLAVSKI","Franc JAKUBOVSKIJ",0.285713139407678
"Lietuvos Respublikos liberalų sąjūdis","Brigita BINGELYTĖ","Daiva JUODELIENĖ",0.285359877824907
"Partija Tvarka ir teisingumas","Kristina VAREIKIENĖ","Sigitas ČINGA",0.285028049686731
"Liberalų ir centro sąjunga","Irena SIMUTIENĖ","Vygantas GROSS",0.284849051026568
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Algis RUDYS","Arūnas BARBŠYS",0.284481939426617
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Loreta KALNIKAITĖ","Vilhelm HAASE",0.284459954468484
"Lietuvos valstiečių ir žaliųjų sąjunga","Gema UMBRASIENĖ","Remigijus VILYS",0.284355256399872
"Lietuvos Respublikos liberalų sąjūdis","Audrius VAIŠVILA","Gediminas ČEPULIS",0.284252819614303
"Lietuvos Respublikos liberalų sąjūdis","Dainius ŽILIUS","Dalytė RUDZEVIČIENĖ",0.284144423704125
"Respublikonų partija","Sandra ADOMAITIENĖ","Vilma GECEVIČIŪTĖ",0.283697511869716
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Dainius BARDAUSKAS","Dalius BITAITIS",0.283429049467732
"Demokratinė darbo ir vienybės partija","Danutė RUPLYTĖ","Irina KSENZOVA",0.283416975943759
"Krikščionių partija","Alfonsas MOTUZAS","Alvydas ZIMKUS",0.28340823752774
"Lietuvos socialdemokratų partija","Andrius JOZONIS","Jurgis JURKEVIČIUS",0.283179183358912
"„Drąsos kelias“ politinė partija","Irena VASINAUSKAITĖ","Tatjana ŽGUNOVA",0.283042936941508
"Krikščionių partija","Algis ŽVALIAUSKAS","Alvydas KIRKLIAUSKAS",0.2828068029511
"Partija Tvarka ir teisingumas","Rolandas JONIKAITIS","Vincas PLIKAITIS",0.282694215551218
"Partija Tvarka ir teisingumas","Donatas SENIKAS","Vygaudas MOLIS",0.282526557718604
"Liberalų ir centro sąjunga","Irena RIČKUVIENĖ","Linas JANUŠONIS",0.282259404956941
"Lietuvos Respublikos liberalų sąjūdis","Gytis ANDRULIONIS","Paulius KIZERSKIS",0.282009217870926
"Socialistinis liaudies Frontas","Angelė AMBRAZIENĖ","Aušra SAULIENĖ",0.281442501725571
"Krikščionių partija","Anželika JURAŠŪNIENĖ","Ernesta RANUSIENĖ",0.280846735272909
"Respublikonų partija","Leonid PLOTNIKOV","Tomas MERKYS",0.280197763380466
"Lietuvos Respublikos liberalų sąjūdis","Paulius KIZERSKIS","Virgilijus EIDIMTAS",0.279976537678982
"Lietuvos Respublikos liberalų sąjūdis","Artūras KILTINAVIČIUS","Šarūnas SKUČAS",0.279907317347284
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Mindaugas KRENCIUS","Nerijus STASIULIS",0.279756540846501
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Donatas JANKAUSKAS","Regina LUKOŠEVIČIENĖ",0.279335779232743
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Dobilas KURTINAITIS","Simas SALICKAS",0.278540456469988
"Lietuvos socialdemokratų partija","Rimantas ŠADŽIUS","Žaneta KLEBANSKAJA",0.277953638731791
"Partija Tvarka ir teisingumas","Romualdas JABLONSKIS","Vaidas PAVILONIS",0.277630569239425
"Lietuvos socialdemokratų partija","Algimantas SALAMAKINAS","Kazimieras AUGULIS",0.277618549926872
"Lietuvos Respublikos liberalų sąjūdis","Audrius ENDZINAS","Audrius VAIŠVILA",0.277203899113279
"Politinė partija „Sąjunga Taip“","Aldona KRASAUSKIENĖ","Regina ŠIMANAUSKIENĖ",0.277133235306466
"Lietuvos Respublikos liberalų sąjūdis","Šarūnas SKUČAS","Vidmantas MARTIKONIS",0.276975934193185
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Auksutė RAMANAUSKAITĖ-SKOKAUSKIENĖ","Dobilas KURTINAITIS",0.276764202307599
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""","Rimantas MATULIS","Tatjana ŠČIURINA",0.276539699267367
"Demokratinė darbo ir vienybės partija","Lina AMBRAŠKIENĖ","Nijolė VIŠKELIENĖ",0.276283118975268
"Liberalų ir centro sąjunga","Andrej AVDONIN","Mantas PANAVAS",0.276119117593056
"Politinė partija „Sąjunga Taip“","Andrejus ZADNEPROVSKIS","Zenobija ŽEPNICKIENĖ",0.27592448859546
